objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,,I52TcTRzUCE,,Malvarosa,Dr. Gregorio Fernandez,1958-05-19,"Rosa's alcoholic father meets with an accident and her mother slumps into depression. She taken on the responsibility for raising her five brothers, at the cost of her wedding.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_002,,KAHxsB3aXFY,,Balweg,Butch Perez,1987-07-08,A biographical action film centering on the life of Father Conrado Balweg and the revolutionary struggles in the Cordillera.,Film,"Cordillera Region, Philippines",17.025,-121.15,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_003,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/sakay.jpg?raw=true,,,Sakay,Raymond Red,1993,"An acclaimed historical film depicting the life of Macario Sakay, a general who fought in the Philippine-American War.",Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_004,,xx_gMne9bsU,,Matandang Dalaga,Olive La Torre,1954,"Carmen was about to get married and was on her way to church when Rosa Mia begged her not to go ahead with the wedding because Carmen was going to marry her husband, but the latter still insisted on his love for her fiancé until a letter was delivered saying that the wedding was no longer going ahead. Since then, Carmen has become so stubborn and distrustful of men that she even hinders the love between her sister Myrna Delgado and Ramon Revilla. Serialized in Bulaklak Magazine. ",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_005,,j7ilmWDAIRE,,Balisong,Conrado Conde,1955,A deadly weapon in the hand of a fiery woman only one man could tame it’s fast-streaking fury.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_006,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/sugapa.jpg?raw=true,,,Sa Piling ng mga Sugapa,Gil Portes,1977-12-24,"A gritty social drama tackling contemporary domestic issues, directed by acclaimed filmmaker Gil Portes.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_007,,Rx_wKDkKwf0,,Hihintayin Kita,Artemio B. Tecson,1952-08-28,"A solider joins the guerilla and is tasked to woe the daughter of a man who has ties with Japanese forces and and gather intel but he falls in love with her. They both get married but the woman and her father gets into an accident, so the man leaves for Manila and falls in love with doctor. Fate lead the doctor and the woman to meet.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_008,,TKyEtugcfdM,,"Bata, Bata Pa'no Ka Ginawa?",Chito S. Roño,1998-09-09,"Based on the acclaimed novel of Lualhati Bautista, this film looks into the life of women's rights advocate Lea Bustamante (Vilma Santos), who has two children from different fathers. She finds herself at a crossroads when her children's fathers propose taking their kids with them. She then decides to let her children choose who they want to stay with. Released in 1998 and directed by Chito S. Roño.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_009,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/Hubad%20na%20Bayani-%2077-%20Robert%20Arevalo-sf.jpg?raw=true,,,Hubad na Bayani,Robert Arevalo,1977,"Hubad na Bayani explores the world of peasant revolts, cult organizations, talismans, and the fight for socio-economic reforms. The story revolves around Ruben a peasant who dreams of saving enough money to pay for the treatment of his sick mother, the education of his sister Pilar, as well as his own marriage to Luisa. His modest dreams are never realized as he and his family are exploited, harassed and victimized by the greedy landowners and loan sharks.",Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_010,,FlYo4a5FcDY,,Prinsesa Gusgusin,Carlos Vander Tolosa,1957-10-21,It’s a fairy tale romance when a modern Cinderella meets her handsome lover prince.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
